transaction_id,purchase_price,product_value,product_name,first_name,last_name,email,gender,customer_country,client_country
1,4.89,13.58,Wine,Flemming,Dadswell,fdadswell0@surveymonkey.com,Male,Brazil,Brazil
2,1.38,18.82,Oranges,Doretta,Attryde,dattryde1@cloudflare.com,Female,Brazil,Brazil
3,4.5,15.12,Apples,Che,Cartmail,ccartmail2@pagesperso-orange.fr,Polygender,Philippines,Philippines
4,8.27,19.0,Chicken Meat,Lianna,Patriche,lpatriche3@ft.com,Female,Brazil,Brazil
5,7.62,17.99,Oranges,Hayyim,Neate,hneate4@scientificamerican.com,Male,United States,United States
6,7.67,17.06,Oranges,Brod,Blaxill,bblaxill5@wikimedia.org,Male,United States,United States
7,8.14,18.12,Oranges,Malynda,Comello,mcomello6@moonfruit.com,Female,Brazil,Brazil
8,6.19,18.35,Milk,Peirce,Brozsset,pbrozsset7@nps.gov,Male,Philippines,Philippines
9,2.36,11.16,Wine,Stefanie,Sango,ssango8@alexa.com,Female,Brazil,Brazil
10,7.2,11.11,Oranges,Mathilde,Doldon,mdoldon9@kickstarter.com,Female,Philippines,Philippines
11,1.46,10.99,Beef,Jilleen,Chaffen,jchaffena@admin.ch,Female,United States,United States
12,7.75,15.65,Apples,Christophe,Warkup,cwarkupb@nba.com,Male,Philippines,Philippines
13,4.87,15.9,Apples,Doretta,Aikett,daikettc@oakley.com,Female,Brazil,Brazil
14,7.53,18.79,Eggs,Norah,Redrup,nredrupd@surveymonkey.com,Female,Philippines,Philippines
15,7.04,17.85,Wine,Ivette,Thairs,ithairse@angelfire.com,Female,,
16,2.35,10.95,Apples,Tudor,Spickett,tspickettf@engadget.com,Male,Brazil,Brazil
17,2.8,17.03,Wine,Micaela,Najera,mnajerag@sina.com.cn,Female,Philippines,Philippines
18,6.63,11.45,Eggs,Aldis,Stokell,astokellh@alexa.com,Male,,
19,2.48,14.69,Beef,Chancey,Whitney,cwhitneyi@independent.co.uk,Male,United States,United States
20,4.92,13.31,Oranges,Pascale,Gowthorpe,pgowthorpej@deviantart.com,Male,Brazil,Brazil
21,8.81,16.93,Milk,Moyna,Delle,mdellek@angelfire.com,Female,Brazil,Brazil
22,8.75,15.51,Wine,Dallas,Trittam,dtrittaml@sun.com,Male,Philippines,Philippines
23,8.68,16.89,Milk,Dawn,Piele,dpielem@gizmodo.com,Female,Brazil,Brazil
24,2.12,13.17,Beef,Wallis,Bonass,wbonassn@paginegialle.it,Male,United States,United States
25,8.11,17.49,Chicken Meat,Pierette,Stockhill,pstockhillo@gravatar.com,Female,Brazil,Brazil
26,2.37,17.32,Chicken Meat,Hillyer,Cleveley,hcleveleyp@twitter.com,Male,,
27,3.69,10.71,Wine,Pierson,Lorkins,plorkinsq@linkedin.com,Male,,
28,5.21,10.77,Beef,Alayne,Elby,aelbyr@census.gov,Female,Philippines,Philippines
29,2.83,17.59,Chicken Meat,Raye,Bickerdyke,rbickerdykes@dot.gov,Female,United States,United States
30,7.53,17.46,Apples,Rudolph,Durtnal,rdurtnalt@hatena.ne.jp,Male,Philippines,Philippines
31,8.87,16.49,Eggs,Wilton,Kingwell,wkingwellu@ifeng.com,Non-binary,United States,United States
32,5.99,15.48,Apples,Andrus,Lindbergh,alindberghv@nasa.gov,Male,Brazil,Brazil
33,7.57,14.1,Beef,Pincas,Loughnan,ploughnanw@over-blog.com,Male,,
34,3.84,17.16,Milk,Salmon,Tebbs,stebbsx@psu.edu,Male,United States,United States
35,7.79,15.56,Milk,Darcy,Mearing,dmearingy@soundcloud.com,Male,Brazil,Brazil
36,5.25,16.71,Wine,Hermione,Marples,hmarplesz@netvibes.com,Polygender,United States,United States
37,2.25,10.63,Oranges,Marchelle,Sully,msully10@slashdot.org,Genderfluid,Philippines,Philippines
38,8.05,12.48,Apples,Tonnie,Quadri,tquadri11@noaa.gov,Bigender,Brazil,Brazil
39,8.83,15.76,Beef,Aleece,Brend,abrend12@slashdot.org,Female,Philippines,Philippines
40,5.38,10.95,Beef,Sandy,Souster,ssouster13@free.fr,Male,United States,United States
41,5.42,18.06,Apples,Abby,Tousey,atousey14@sakura.ne.jp,Male,,
42,7.74,13.33,Chicken Meat,Peggy,Oggers,poggers15@example.com,Female,Philippines,Philippines
43,2.41,17.02,Oranges,Stavros,Strange,sstrange16@oaic.gov.au,Polygender,Philippines,Philippines
44,4.48,10.88,Eggs,Shannen,Fairbourne,sfairbourne17@macromedia.com,Female,Philippines,Philippines
45,7.23,11.46,Wine,Elissa,Odgers,eodgers18@guardian.co.uk,Non-binary,,
46,4.16,18.18,Apples,Dollie,Scadding,dscadding19@amazon.co.jp,Polygender,Philippines,Philippines
47,8.33,14.17,Beef,Hussein,Wedmore.,hwedmore1a@bing.com,Male,Philippines,Philippines
48,1.17,18.36,Eggs,Efren,Kembery,ekembery1b@artisteer.com,Male,United States,United States
49,3.23,10.96,Beef,Ebonee,Potticary,epotticary1c@amazonaws.com,Female,Brazil,Brazil
50,4.24,15.92,Flour,Oliy,Kersey,okersey1d@reuters.com,Female,Brazil,Brazil
51,6.43,13.93,Eggs,Michel,Ennals,mennals1e@kickstarter.com,Agender,Brazil,Brazil
52,6.96,12.53,Beef,Thaddeus,Boston,tboston1f@dell.com,Male,Brazil,Brazil
53,7.36,11.62,Beef,Ivar,Buxcey,ibuxcey1g@jalbum.net,Male,Brazil,Brazil
54,5.87,16.36,Flour,Des,Kenneford,dkenneford1h@multiply.com,Male,United States,United States
55,8.57,17.59,Wine,Cal,Sowray,csowray1i@chronoengine.com,Male,Brazil,Brazil
56,8.91,17.98,Flour,Beauregard,Hartly,bhartly1j@oracle.com,Male,Brazil,Brazil
57,4.6,17.65,Beef,Loraine,Caudelier,lcaudelier1k@prweb.com,Female,Philippines,Philippines
58,3.25,12.08,Wine,Trisha,Worgan,tworgan1l@umich.edu,Female,,
59,7.87,13.72,Apples,Nanice,Wixey,nwixey1m@china.com.cn,Female,United States,United States
60,4.67,10.38,Eggs,Rudie,Szantho,rszantho1n@linkedin.com,Male,Philippines,Philippines
61,6.23,18.42,Oranges,Elihu,Kingsman,ekingsman1o@shutterfly.com,Male,Philippines,Philippines
62,4.08,12.62,Flour,Artus,Forstall,aforstall1p@goo.gl,Male,Philippines,Philippines
63,7.07,18.69,Milk,Daisi,Normavill,dnormavill1q@moonfruit.com,Female,Brazil,Brazil
64,7.95,10.81,Flour,Murdock,Waiting,mwaiting1r@archive.org,Genderfluid,United States,United States
65,4.55,13.27,Milk,Rozamond,Vogt,rvogt1s@livejournal.com,Female,Philippines,Philippines
66,1.18,14.83,Beef,Phil,Wrate,pwrate1t@skype.com,Male,Philippines,Philippines
67,7.77,17.56,Flour,Terrie,Hawkyens,thawkyens1u@mapquest.com,Female,Brazil,Brazil
68,6.47,12.03,Wine,Whittaker,Garstang,wgarstang1v@meetup.com,Male,Philippines,Philippines
69,5.57,18.44,Beef,Selie,Le Prevost,sleprevost1w@vkontakte.ru,Female,Philippines,Philippines
70,3.23,18.52,Milk,Antoinette,Henworth,ahenworth1x@sciencedaily.com,Female,Brazil,Brazil
71,2.72,13.26,Chicken Meat,Noll,Griston,ngriston1y@zimbio.com,Male,,
72,3.62,12.44,Flour,Silvan,Pimmocke,spimmocke1z@slate.com,Male,Philippines,Philippines
73,7.95,17.65,Flour,Inigo,Brittian,ibrittian20@delicious.com,Male,,
74,8.08,16.7,Chicken Meat,Cliff,Gosalvez,cgosalvez21@google.com,Male,Philippines,Philippines
75,7.48,14.14,Wine,Merwyn,Banasiak,mbanasiak22@cbsnews.com,Male,Philippines,Philippines
76,3.11,10.66,Beef,Stevy,Baynon,sbaynon23@google.com.br,Male,Brazil,Brazil
77,1.43,14.75,Chicken Meat,Annabella,Abarough,aabarough24@cargocollective.com,Genderqueer,Philippines,Philippines
78,1.43,13.22,Milk,Amargo,Macvain,amacvain25@irs.gov,Female,Brazil,Brazil
79,7.65,12.73,Chicken Meat,Elwin,Faber,efaber26@angelfire.com,Male,,
80,8.94,11.79,Apples,Leonerd,Wonfar,lwonfar27@yandex.ru,Male,Brazil,Brazil
81,1.71,11.55,Beef,Mic,Oldroyd,moldroyd28@unesco.org,Male,Philippines,Philippines
82,7.44,13.32,Chicken Meat,Guillemette,Snaddin,gsnaddin29@fastcompany.com,Female,United States,United States
83,1.97,14.88,Oranges,Chico,Leynham,cleynham2a@reddit.com,Male,Brazil,Brazil
84,7.39,16.78,Apples,Yance,Lillford,ylillford2b@berkeley.edu,Male,United States,United States
85,4.6,17.12,Oranges,Perry,Pope,ppope2c@reverbnation.com,Female,United States,United States
86,2.19,10.83,Eggs,Cherye,Bartholomew,cbartholomew2d@squidoo.com,Female,Philippines,Philippines
87,1.1,10.04,Oranges,Merola,Bartrap,mbartrap2e@soundcloud.com,Female,Philippines,Philippines
88,2.24,15.41,Milk,Reagen,O'Mahoney,romahoney2f@mozilla.org,Male,,
89,1.86,13.35,Beef,Roy,Hancox,rhancox2g@dailymotion.com,Male,Philippines,Philippines
90,1.93,18.13,Oranges,Andie,Hovenden,ahovenden2h@stumbleupon.com,Male,Philippines,Philippines
91,1.98,12.41,Beef,Delmore,Stable,dstable2i@wp.com,Male,Philippines,Philippines
92,1.67,10.15,Flour,Nobie,Dobrowolny,ndobrowolny2j@slate.com,Male,Brazil,Brazil
93,5.58,17.05,Beef,Mahmoud,D'Antoni,mdantoni2k@pcworld.com,Male,United States,United States
94,2.71,14.81,Milk,Cassius,Tompion,ctompion2l@cbslocal.com,Male,Philippines,Philippines
95,3.0,13.73,Eggs,Siward,Fuzzey,sfuzzey2m@samsung.com,Male,United States,United States
